model,rpp,comet,meteor,spbleu,bleu_1,rouge_l,ews_score,newline_score,repetition_score,total_repetitions,rr,rrp,perf,rap,translation_completeness,num_max_output_tokens,percentage_of_repeated_entries
Qwen/Qwen2-72B-Instruct,1.00,0.7570170721487987,0.4789208192601603,18.953782447211417,0.1895378244721141,0.4522514493620528,0.07855251544571933,0.07855251544571933,0.06266548984995587,0.1412180052956752,0.0012165820128349403,0.12165820128349403,0.7570170721487987,0.7542575120443844,1.0,0,2.206531332744925
Qwen/Qwen2-72B-Instruct,1.02,0.7573583127909388,0.4796836675632054,19.0137490702917,0.190137490702917,0.4526922175986438,0.0997352162400706,0.0997352162400706,0.07413945278022947,0.17387466902030008,0.0014956534942869072,0.1495653494286907,0.7573583127909388,0.7539651560209266,1.0,0,2.64783759929391
Qwen/Qwen2-72B-Instruct,1.04,0.7574985287458835,0.476362681282195,18.52063321160408,0.1852063321160408,0.4491791286896135,0.08384819064430715,0.08384819064430715,0.08649602824360106,0.1703442188879082,0.0014611139290337722,0.1461113929033772,0.7574985287458835,0.7541830028744213,1.0,0,2.471315092674316
Qwen/Qwen2-72B-Instruct,1.06,0.7563852697268905,0.4679636383950649,17.982473951038504,0.1798247395103851,0.4414302384776113,0.07325684024713151,0.07325684024713151,0.05472197705207414,0.12797881729920565,0.0010829866531231096,0.10829866531231096,0.7563852697268905,0.7539304647132251,1.0,0,2.118270079435128
Qwen/Qwen2-72B-Instruct,1.08,0.7554471646908207,0.4597578197711645,17.067954025424825,0.1706795402542483,0.4319052863160809,0.06354810238305383,0.06354810238305383,0.03795233892321271,0.10150044130626655,0.0008500258703525761,0.0850025870352576,0.7554471646908207,0.7535223528572281,1.0,0,1.853486319505737
Qwen/Qwen2-72B-Instruct,1.10,0.75500979801247,0.4515778511124262,16.22452191616505,0.1622452191616504,0.4244761354058755,0.05736981465136805,0.05736981465136805,0.02824360105913504,0.08561341571050309,0.0007121356728580868,0.07121356728580867,0.75500979801247,0.753397938188934,1.0,0,1.676963812886143
Qwen/Qwen2-7B-Instruct,1.00,0.7457723188010971,0.442240791493943,14.38814929350883,0.1438814929350883,0.4162759057739747,0.05825242718446602,0.05825242718446602,10.774933804060018,10.833186231244484,0.08396037978493448,8.396037978493448,0.7457723188010971,0.5732565603116205,0.9947043248014121,2,2.294792586054722
Qwen/Qwen2-7B-Instruct,1.02,0.7474082109944966,0.4400998640836595,15.16172261831792,0.1516172261831792,0.4165035906118025,0.05648720211827008,0.05648720211827008,7.036187113857017,7.0926743159752865,0.057428303949803826,5.742830394980382,0.7474082109944966,0.6258943742595823,0.9947043248014121,1,2.294792586054722
Qwen/Qwen2-7B-Instruct,1.04,0.7484377450576842,0.4390136558190875,14.958631815014014,0.1495863181501401,0.4142970757686492,0.0529567519858782,0.0529567519858782,0.10856134157105031,0.1615180935569285,0.001379851157039126,0.1379851157039126,0.7484377450576842,0.7453438200780891,0.999117387466902,0,1.853486319505737
Qwen/Qwen2-7B-Instruct,1.06,0.7471614604436078,0.4328321576515084,14.28087386760537,0.1428087386760537,0.4073319764254861,0.06707855251544571,0.06707855251544571,0.11032656663724624,0.17740511915269197,0.0015113918339724791,0.1511391833972479,0.7471614604436078,0.743778816908725,0.9982347749338041,0,2.206531332744925
Qwen/Qwen2-7B-Instruct,1.08,0.7451942060389355,0.423560805217557,13.659683698817108,0.1365968369881711,0.3968597388257214,0.06443071491615181,0.06443071491615181,0.13062665489849956,0.19505736981465135,0.0016449082275183469,0.1644908227518347,0.7451942060389355,0.7415229233479677,1.0,0,2.206531332744925
Qwen/Qwen2-7B-Instruct,1.10,0.7432072967790653,0.4135053136541433,12.922649874705083,0.1292264987470507,0.3878186285063445,0.06707855251544571,0.06707855251544571,0.0997352162400706,0.16681376875551632,0.0013848487290898832,0.1384848729089883,0.7432072967790653,0.7401238817462625,1.0,0,2.030008826125331
internlm/internlm2_5-7b-chat,1.00,0.739699612254078,0.4289996929258777,14.734881589173108,0.1473488158917311,0.4096466800937898,0.05383936451897617,0.05383936451897617,12.606354810238305,12.660194174757281,0.10371655820679682,10.371655820679681,0.739699612254078,0.5325881640465967,1.0,2,2.030008826125331
internlm/internlm2_5-7b-chat,1.02,0.740223803961056,0.4266246904302194,14.583816688798017,0.1458381668879802,0.4071727106228415,0.06266548984995587,0.06266548984995587,9.849073256840247,9.911738746690203,0.0832234063051179,8.32234063051179,0.740223803961056,0.5703659582906755,1.0,1,2.118270079435128
internlm/internlm2_5-7b-chat,1.04,0.7398856264610577,0.4154585167056314,13.534659133050225,0.1353465913305021,0.3968657713589718,0.07237422771403354,0.07237422771403354,6.529567519858782,6.601941747572815,0.05613508442776736,5.613508442776736,0.7398856264610577,0.6221485884888651,1.0,1,2.294792586054722
internlm/internlm2_5-7b-chat,1.06,0.7379362287241489,0.4039588647855378,12.346740971499404,0.1234674097149939,0.3872447044295494,0.06796116504854369,0.06796116504854369,6.533980582524272,6.601941747572815,0.05513987689359035,5.513987689359035,0.7379362287241489,0.6224742543197805,0.999117387466902,1,2.383053839364519
internlm/internlm2_5-7b-chat,1.08,0.7319988705684732,0.3873176839854818,11.075674965706344,0.1107567496570634,0.3724352909668609,0.05207413945278023,0.05207413945278023,9.83495145631068,9.88702559576346,0.07906717392378437,7.906717392378438,0.7319988705684732,0.5717343310562308,0.999117387466902,1,1.941747572815534
internlm/internlm2_5-7b-chat,1.10,0.7295350462119345,0.3769306874386757,10.305163787094209,0.1030516378709421,0.3634496155759507,0.07855251544571933,0.07855251544571933,6.527802294792586,6.606354810238305,0.053004659594657756,5.300465959465775,0.7295350462119345,0.6195690090849183,0.999117387466902,1,2.383053839364519
microsoft/Phi-3.5-mini-instruct,1.00,0.7107840433177544,0.3796831545348129,8.71296896471494,0.0871296896471493,0.3589874395901284,10.670785525154457,10.670785525154457,17.93821712268314,28.6090026478376,0.20225504327262062,20.225504327262062,0.7107840433177544,0.3608526271635592,1.0,6,2.030008826125331
microsoft/Phi-3.5-mini-instruct,1.02,0.7164765837070485,0.3780585837553919,10.291240080163629,0.1029124008016362,0.3546952732427276,3.585172109443954,3.585172109443954,7.1403353927625774,10.725507502206531,0.08530053839296368,8.530053839296368,0.7164765837070485,0.5483240204881398,1.0,2,1.323918799646955
microsoft/Phi-3.5-mini-instruct,1.04,0.7111233387336411,0.3547161333845742,8.966881655527896,0.0896688165552789,0.3300979657678754,3.6125330979699912,3.6125330979699912,0.07325684024713151,3.685789938217123,0.02973427131098516,2.973427131098516,0.7111233387336411,0.6495566110355127,1.0,1,1.412180052956752
microsoft/Phi-3.5-mini-instruct,1.06,0.7024363270136286,0.3298733737040869,7.076233088011138,0.0707623308801113,0.3019513312669543,0.04589585172109444,0.04589585172109444,0.05207413945278023,0.09796999117387467,0.0007571675113745661,0.0757167511374566,0.7024363270136286,0.7008419489376414,1.0,0,1.412180052956752
microsoft/Phi-3.5-mini-instruct,1.08,0.6882111219210848,0.3054541022592767,5.105510599247868,0.0510551059924786,0.2736030007297014,3.3609885260370698,3.3609885260370698,0.06443071491615181,3.4254192409532216,0.023581380370521147,2.3581380370521146,0.6882111219210848,0.6406632969876999,1.0,1,3.089143865842895
